City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
229,Chapais,CA,2020-08-30 20:14:47,49.78,-74.85,57.2,58,90,11.41
230,Ribeira Grande,PT,2020-08-30 20:14:47,38.52,-28.7,77.0,94,40,11.41
231,Asyut,EG,2020-08-30 20:14:48,27.18,31.18,87.8,35,0,9.17
232,Bull Savanna,JM,2020-08-30 20:14:48,17.89,-77.59,83.01,75,40,4.63
233,Bastia,FR,2020-08-30 20:14:49,42.67,9.33,75.0,46,75,5.82
234,Kalga,RU,2020-08-30 20:14:49,50.93,118.9,51.71,96,100,5.06
235,Kharhial,IN,2020-08-30 20:14:49,20.28,82.77,77.85,81,69,2.06
236,Lebork,PL,2020-08-30 20:14:50,54.54,17.75,63.0,82,100,4.7
237,Likasi,CD,2020-08-30 20:14:50,-10.98,26.73,68.34,31,0,1.59
238,Barranca,PE,2020-08-30 20:11:50,-10.75,-77.77,65.44,70,22,10.87
239,Broome,US,2020-08-30 20:14:51,42.25,-75.83,72.0,48,75,17.22
240,Tarauaca,BR,2020-08-30 20:14:51,-8.16,-70.77,90.68,45,98,1.34
241,Sistranda,NO,2020-08-30 20:14:52,63.73,8.83,48.2,70,40,6.93
242,Yaan,NG,2020-08-30 20:14:52,7.38,8.57,74.12,94,48,5.75
243,Sete,FR,2020-08-30 20:11:02,43.4,3.7,69.8,49,0,11.41
244,Port Augusta,AU,2020-08-30 20:14:53,-32.5,137.77,51.8,71,90,9.17
245,Douglasville,US,2020-08-30 20:14:53,33.75,-84.75,91.99,74,8,5.77
246,Majene,ID,2020-08-30 20:14:54,-3.54,118.97,76.42,86,93,12.77
247,Okhotsk,RU,2020-08-30 20:14:54,59.38,143.3,53.91,83,100,10.2
248,Bitung,ID,2020-08-30 20:14:54,1.45,125.18,75.2,94,20,1.12
249,Sao Gabriel Da Cachoeira,BR,2020-08-30 20:14:55,-0.13,-67.09,79.84,78,100,2.42
